date,open,high,low,close,EMA,MA,Volume,Volume MA,Basis,Upper,Lower,RSI,Position,Close-crude oil,Close-xau,Value-DIFF,Value-MWNTD,Value-MWTRV,Value-MIREV,Value-HRATE,Value-BLCHS,Value-AVBLS,Value-BCDDY,Value-ATRCT,Value-TOTBC,Value-MKTCP,Close-future
2017-12-17,19326.50847394,19764.51239653,18728.19249852,19029.41211399,17073.91808612797,10145.526691153398,91862.24323336,153129.79796132428,14256.607925022498,20541.670698158767,7971.545151886228,78.48791899207065,False,57.3,80.23,1590896927258.0,66631.0,140930.94280754,53191582.1375,14630524.3132847,146905.507609,1.04107442162,?,11.6,16747275.0,334669169962.5,19100.0
2017-12-18,19019.5064395,19171.53891951,18061.60115236,18923.19743536,17443.77395597438,10401.165643566395,108712.64526112,153857.1345394138,14707.389248668998,20973.311837280235,8441.466660057762,77.60714314871989,False,57.16,81.68,1718045833480.0,63495.0,80103.4477831,52600190.3933,16946489.2357,147095.157989,1.04203505495,?,11.6,16750612.5,317622713304.0,18200.0
2017-12-19,18917.04148262,18972.63879447,16877.77579059,17620.0500843,17479.029181639504,10631.0797099046,138280.62031601,146443.64051661378,15095.9600265325,21065.303041346167,9126.61701171883,67.58608584491861,False,57.46,81.57,1873105475220.0,54852.0,85571.4405645,44228748.1746236,13035760.9505,148092.334806,1.0601594,?,11.45,16752362.5,297138524343.0,17040.0
2017-12-20,17620.76613274,17851.3190186,15672.75594101,16486.06942306,17280.437229923602,10831.835086451996,188117.12221401,144220.08113574676,15423.234100592495,20925.554639317623,9920.913561867372,60.290539433508975,False,58.09,83.01,1873105475221.0,54677.0,115857.79629371,40786861.3917,12663310.6376441,147389.481124,1.07280013971,?,11.25,16752787.5,282954580875.0,15330.0
2017-12-21,16486.93000704,17311.24937817,14857.25407224,15595.33581406,16943.41694675088,11008.800773378198,133093.35692347,143008.64504622525,15659.342321435995,20750.30024917941,10568.384393692584,55.24592846064591,False,58.36,83.38,1873105475220.0,43505.0,74526.0617849,43552942.14,12290860.3248,147526.58848,1.03869209091,?,11.25,16755712.5,268887463900.99997,14135.0
2017-12-22,15607.74965368,15748.94261567,10890.62713922,13819.91686787,16318.716930974704,11144.657745007598,345174.35106148,155741.22567407225,15805.525066350496,20492.921503031368,11118.128629669623,46.834297430913374,False,58.47,84.01,1873105475220.0,43222.0,80471.7476819,48973790.4176209,14432449.6238,148523.738766,1.06231906451613,?,10.85,16757650.0,254564539479.00003,?
2017-12-23,13813.80343813,15666.01219049,13590.11501454,14604.92702691,15975.958950161765,11293.612040117196,127656.77374232,155159.18254606277,15975.991834822498,20206.055617035992,11745.928052609004,50.42825738918114,True,58.47,84.01,1873105475221.0,40957.0,56250.95838234,41833672.6492,12942648.372298,147838.593212,1.06003796403,?,14.0166666666667,16758325.0,242099142112.5,?
2017-12-24,14609.70346644,14639.98203499,12474.81192496,13946.99153346,15570.16546682141,11424.988588982596,134144.29606,156235.46289457526,16092.818886800498,19946.469567132583,12239.168206468414,47.52833107079118,False,58.47,84.01,1873105475220.0,49434.0,49101.344554,37634874.15,14153111.8891,148000.342927,1.06414286184,?,14.0166666667,16761287.5,233806132563.0,?
2017-12-25,13973.1288279,14549.64065661,13179.58173303,13889.76333338,15234.085040133128,11555.151030306,83127.7346962,155823.45349019376,16203.694359227,19648.09007567393,12759.298642780068,47.27368095562596,False,58.59,84.01,1873105475220.0,42867.0,49040.6424047,33837650.8285438,12570198.0594,148997.57684,1.05074595555555,?,10.8666666667,16762975.0,236676918975.99997,15785.0
2017-12-26,13885.18778518,16071.7573702,13826.73433092,15736.7196985,15334.611971806502,11730.649492920798,114873.62916779,152438.43344546377,16305.6903069,19562.83001933067,13048.550594469329,55.55091715377938,True,59.97,85.65,1873105475221.0,45559.0,56230.08765168,38893686.4983,13221986.1069519,148291.338094,1.05031311972,?,13.375,16763837.5,258842032918.75,14690.0
2017-12-27,15725.33632926,16453.35898179,14538.71540656,15396.95276273,15347.080129991202,11896.287874422596,112190.86944131,144050.75741384027,16234.596349379995,19505.87127306616,12963.321425693835,53.87536750003567,False,59.64,85.32,1873105475220.0,46058.0,92122.759607,41529952.92,14525562.202,148457.882881,1.06759478846,?,13.375,16766700.0,261381479588.00003,13745.0
2017-12-28,15398.76191349,15481.00397801,13543.96600742,14446.4118141,15166.946466812962,12035.9776408698,137588.5343897,138505.87313623025,16155.150851743,19517.82419189249,12792.477511593504,49.38733435650775,False,59.84,85.45,1873105475220.0,48384.0,69155.5375385,37806663.7832782,13873774.1545,149455.153988,1.08320304026846,?,8.13333333333,16768562.5,241141682463.99997,14470.0
2017-12-29,14457.11967072,15085.85947199,13987.7531663,14473.00710998,15028.15859544637,12182.457279974198,90655.09832642,135594.05914515426,16135.891436867498,19532.299999013987,12739.482874721009,49.51405721466743,True,60.42,85.27,1873105475221.0,52306.0,72064.03460351,40531227.59,15363575.4059653,148792.159497,1.04775371515,?,8.06666666666667,16769362.5,241126663387.5,?
2017-12-30,14471.8085662,14531.27037655,12227.17147283,12621.92212665,14546.911301687096,12303.5977125354,131180.2105967,132179.43868185827,16014.103674101,19717.25760519565,12310.94974300635,41.68997207885926,False,60.42,85.27,1873105475220.0,42136.0,139288.78395,33640243.617,13687548.998,148944.581153,1.03688201361,?,8.06666666667,16772462.5,221657719331.0,?
2017-12-31,12625.55104012,14237.38471514,12485.15060687,13899.64616285,14417.458273919678,12455.0958964836,87866.09604756,128865.6755922933,15873.3812015375,19672.108113333463,12074.654289741537,47.81926826974122,True,60.42,85.27,1873105475220.0,50964.0,49984.0338215,34803527.1470655,15177350.2495,149941.738091,1.03705696932515,?,10.7,16774500.0,237620437837.00003,?
