time,open,high,low,close,MA,Volume,Volume MA,Basis,Upper,Lower,RSI
1518649200,9400,10180,9375,10090,NaN,1783,1121.45,9592.25,12145.176702825602,7039.323297174398,44.64561148752552
1518735600,10090,10265,9675,10020,NaN,1101,1127.55,9525.25,11956.52224925552,7093.97775074448,44.24807126063857
1519081200,10350,11760,10315,11735,NaN,2080,1174.7,9594.25,12188.656049561248,6999.843950438752,54.854467611202345
1519167600,11220,11280,10260,10370,NaN,623,1143.8,9558,12086.951165997478,7029.048834002522,47.163709961008955
1519254000,10500,10865,9760,10095,NaN,530,1158.7,9505,11940.559483978988,7069.440516021011,45.77139964630107
1519340400,9880,10340,9530,9950,NaN,530,1166.2,9442.5,11762.268307396236,7122.731692603764,45.01678958394538
1519599600,9680,10390,9270,10250,NaN,745,1174.8,9406.75,11652.417551085868,7161.082448914132,46.964969915420276
1519686000,10285,10875,10100,10660,NaN,761,1189.7,9381.25,11556.7358652724,7205.7641347276,49.593614686148975
1519772400,10665,11005,10330,10645,NaN,1130,1189.35,9416.5,11649.153354195407,7183.846645804593,49.496956273173495
1519858800,10450,11100,10220,11065,11916.1,1345,1214.5,9469.75,11804.019639523249,7135.480360476751,52.300275051647034
1519945200,11035,11215,10760,11060,11755.3,748,1177.65,9568.25,11994.552279189465,7141.947720810534,52.26308255333632
1520204400,11350,11700,11340,11615,11623.6,990,1100.4,9719.75,12257.389602071184,7182.1103979288155,56.00315945268973
1520290800,11595,11655,10570,10650,11495.8,1580,1070.1,9889.25,12188.74836921012,7589.75163078988,48.83832824872903
1520377200,10735,10880,9385,9790,11385,1888,1052.8,10001.25,12037.194191278337,7965.305808721663,43.497445885871116
1520463600,9970,10100,9105,9400,11290.3,2524,1110.05,10059,11952.97624061127,8165.02375938873,41.292132207186555
1520550000,9350,9445,8390,9015,11154.9,2742,1201.85,10093.5,11882.08072224879,8304.91927775121,39.18031952313625
1520805600,9490,9940,8735,8910,11039.3,2732,1300.25,10108.5,11851.514916746268,8365.485083253732,38.600498114374666
1520892000,9165,9515,8825,9070,10945.8,3375,1435.05,10119,11834.111075120209,8403.888924879791,40.056244068004084
1520978400,8905,9395,8185,8275,10821.9,2638,1539.45,10097.75,11891.392871365424,8304.107128634576,35.5465228294137
1521064800,8005,8450,7700,8235,10689.5,3093,1646.9,10045,11986.520023074703,8103.479976925296,35.33099029814284
1521151200,8340,8640,7885,8555,10561.1,3065,1711,9968.25,12015.089698168862,7921.410301831138,38.541488373838924
1521410400,8275,8720,8100,8400,10431.1,2746,1793.25,9887.25,12044.7148896332,7729.785110366799,37.568589945652384
1521496800,8420,9025,8320,8945,10278.2,2050,1791.75,9747.75,11765.55691593621,7729.94308406379,43.01544328209589
1521583200,8990,9185,8775,8890,10157.9,1829,1852.05,9673.75,11703.367882755274,7644.132117244726,42.611407998408026
1521669600,8905,9095,8500,8630,10035.5,2123,1931.7,9600.5,11669.38351532898,7531.61648467102,40.66680784495018
1521756000,8650,8770,8270,8615,9918.8,2895,2049.95,9533.75,11639.04540682537,7428.454593174631,40.55182912387382
1522015200,8650,8650,7840,7910,9809.3,2433,2134.35,9416.75,11608.147442272853,7225.3525577271475,35.47510441755699
1522101600,8220,8235,7790,7915,9688.7,626,2127.6,9279.5,11486.033253771626,7072.966746228374,35.536742764389786
1522188000,7920,8090,7745,7900,9623.5,493,2095.75,9142.25,11333.39690287986,6951.103097120141,35.427405310634214
1522274400,7895,8010,7070,7335,9551.3,1684,2112.7,8955.75,11094.869620311121,6816.630379688878,31.4964764782508
1522620000,6905,7150,6775,6990,9454.8,3539,2252.25,8752.25,10825.277918287644,6679.222081712356,29.354632583136308
1522706400,6975,7520,6965,7460,9376.8,2274,2316.45,8544.5,10223.701893757865,6865.298106242135,35.76336409927589
1522792800,7430,7440,6725,6860,9306.9,2951,2385,8355,9890.239395013039,6819.760604986962,31.79764927845723
1522879200,6790,6925,6550,6760,9220.2,4565,2518.85,8203.5,9740.416067975086,6666.583932024914,31.177133636458862
1522965600,6760,6890,6485,6630,9129.7,2415,2513.4,8065,9644.316307773715,6485.683692226285,30.348016175423197
1523224800,7025,7225,6605,6675,9039.2,3348,2543.7,7948,9574.469796829932,6321.5302031700685,31.031743550711482
1523311200,6705,6880,6640,6840,8956.7,1882,2501.2,7844.5,9476.369786471947,6212.630213528052,33.60533027072162
1523397600,6860,6970,6785,6920,8871.7,1746,2419.75,7737,9314.1315734586,6159.8684265413995,34.87424677280528
1523484000,6920,8105,6660,7680,8826.5,4825,2529.1,7707.25,9264.993480166102,6149.506519833898,45.52551357901951
1523570400,7790,8235,7760,8105,8788.6,3045,2526.7,7700.75,9250.696047448104,6150.803952551896,50.40983339320726
1523829600,8005,8445,7880,7980,8766.4,3858,2566.35,7672,9178.211804494971,6165.788195505028,49.017734931131585
1523916000,8015,8180,7805,7885,8752.4,2676,2562.85,7646.25,9119.036050314166,6173.463949685834,47.93430848168422
1524002400,7870,8240,7860,8125,8769.7,2826,2601.65,7605.25,8973.045580487083,6237.454419512916,50.887621513740385
1524088800,8190,8315,8100,8260,8783.9,2718,2646.1,7573.75,8847.531280283236,6299.968719716764,52.51910959598864
1524175200,8300,8585,8235,8540,8789.8,2318,2655.85,7569.25,8828.627921832838,6309.872078167161,55.798821761552546
1524434400,8910,9015,8775,8845,8800.2,2952,2658.7,7580.75,8881.631528041658,6279.868471958342,59.111960729924476
1524520800,8965,9465,8920,9455,8817.1,4681,2771.1,7658,9190.743944695265,6125.256055304735,64.79549775663172
1524607200,9575,9750,8780,9000,8819.9,795,2779.55,7712.25,9350.698885379095,6073.801114620905,58.28727504687729
1524693600,9190,9265,8670,8895,8823.8,526,2781.2,7762,9478.783038126834,6045.216961873167,56.86773996437164
1524780000,9135,9420,8940,9080,8819.6,2190,2806.5,7849.25,9645.872595316,6052.627404684,58.77286148511597
1525039200,9375,9495,9140,9365,8805.1,2999,2779.5,7968,9834.355807449372,6101.644192550628,61.58767047240927
1525125600,9285,9315,8815,8985,8784.4,3143,2822.95,8044.25,9945.637059491044,6142.862940508956,56.08889437886832
1525212000,9070,9210,8985,9150,8732.7,2093,2780.05,8158.75,10036.7486022359,6280.751397764098,57.8487138560486
1525298400,9245,9805,9180,9675,8718.8,4177,2760.65,8304.5,10178.108550364777,6430.891449635224,62.93826555623801
1525384800,9710,9840,9540,9670,8710.3,3762,2828,8456.5,10253.75373834637,6659.24626165363,62.8604186508167
1525644000,9605,9705,9160,9435,8700,4705,2895.85,8594.5,10240.917018862476,6948.082981137524,59.156900036849194
1525730400,9410,9490,9010,9235,8679.7,4435,3023.5,8714.25,10170.176766702227,7258.323233297773,56.12615521124464
1525816800,9185,9375,8955,9280,8652.1,3015,3086.95,8832.25,10050.517109463273,7613.982890536727,56.66412603827197
1525903200,9255,9415,9040,9090,8621,3063,2998.85,8902.75,10003.679039493463,7801.820960506537,53.671695249970355
1525989600,9110,9125,8380,8625,8572.2,4980,3095.6,8928.75,9976.36097264204,7881.13902735796,47.1140172002398
1526248800,8660,8900,8285,8755,8526.1,5754,3190.4,8967.5,9925.35959305109,8009.64040694891,48.99044307165622
1526335200,8735,8850,8435,8555,8464.9,4222,3267.7,9001,9845.201397771882,8156.7986022281175,46.270461328211056
1526421600,8475,8545,8115,8250,8416.9,4978,3375.3,9007.25,9826.911363003039,8187.588636996961,42.40398120256662
1526508000,8290,8460,8115,8180,8384.7,2872,3383,9003.25,9838.098938431378,8168.401061568621,41.54591041498477
1526594400,8225,8275,7915,8230,8361.3,3390,3436.6,8987.75,9866.769197742575,8108.730802257425,42.44185250403748
1526853600,8525,8680,8320,8375,8348.5,2701,3424.05,8964.25,9881.573688781664,8046.926311218335,45.071199100955596
1526940000,8345,8420,8070,8180,8333.9,2341,3307.05,8900.5,9849.219663546613,7951.780336453387,42.27434863466827
1527026400,8075,8075,7445,7600,8304.5,672,3300.9,8830.5,9933.56346145632,7727.4365385436795,35.264805758436964
1527112800,7500,7730,7275,7600,8291,713,3310.25,8765.75,9991.299978581044,7540.200021418955,35.26480575843695
1527199200,7525,7675,7330,7440,8275.1,2069,3304.2,8683.75,10027.94074167322,7339.559258326781,33.48829763142824
1527544800,7190,7580,7050,7495,8253.9,5052,3406.85,8590.25,9990.851567184614,7189.648432815385,34.70595930962915
1527631200,7505,7620,7270,7320,8232.3,2471,3373.25,8507,9998.812320635541,7015.187679364459,32.65730376699952
1527717600,7335,7660,7335,7545,8204.3,2102,3373.7,8426.75,9944.031368105469,6909.468631894532,37.745510179483986
1527804000,7550,7620,7300,7440,8175.3,2197,3274.7,8315,9776.266573900875,6853.733426099126,36.364664118535266
1528063200,7715,7900,7460,7500,8152.7,1625,3167.85,8206.5,9568.061970679264,6844.938029320736,37.76572256246233
1528149600,7515,7670,7360,7625,8132.9,2069,3036.05,8116,9375.712665650386,6856.287334349614,40.69520671884862
1528236000,7605,7695,7485,7540,8125.5,1450,2886.8,8031.25,9203.456786364932,6859.043213635068,39.33914331403848
1528322400,7695,7780,7640,7705,8121.3,1437,2807.9,7952.5,8981.419336002586,6923.580663997415,43.28961569136387
1528408800,7670,7705,7540,7655,8116.4,1301,2719.8,7880.75,8773.500105012596,6987.999894987404,42.388746352214376
1528668000,7120,7120,6610,6750,8104.7,3861,2663.85,7787,8739.252067469533,6834.747932530467,30.15617838187906
1528754400,6770,6890,6425,6500,8094.9,3875,2569.9,7674.25,8674.151370136075,6674.348629863925,27.771941409512834
1528840800,6470,6620,6100,6270,8071.1,5146,2616.1,7560,8649.417275427557,6470.582724572444,25.7545094020914
1528927200,6275,6705,6250,6635,8066.6,4461,2590.25,7479.25,8591.29889730623,6367.201102693771,33.95403403098365
1529013600,6670,6670,6440,6530,8062,2485,2570.9,7396.75,8533.16222714295,6260.33777285705,32.830772681402365
1529272800,6495,6785,6340,6695,8063.3,2794,2541.1,7320,8427.925990308016,6212.0740096919835,36.391850976327184
1529359200,6710,6840,6650,6735,8064.5,1563,2484.2,7238,8260.958454679369,6215.041545320632,37.26024084417863
1529445600,6705,6815,6545,6745,8062.6,2108,2472.55,7166.25,8113.344900208,6219.155099792,37.49000176775309
1529532000,6705,6780,6670,6710,8058.4,1135,2495.7,7121.75,8066.77526421255,6176.72473578745,36.97955816338033
1529618400,6705,6735,5960,6165,8028.1,3832,2651.65,7050,8054.8930291329525,6045.1069708670475,30.105782336802335
1529877600,6150,6345,6065,6245,7990.9,4762,2786.3,6990.25,8036.536170223042,5943.963829776958,32.10093266306234
1529964000,6255,6275,6120,6160,7954.5,3173,2692.35,6923.5,8002.296088239107,5844.703911760893,31.085602503325603
1530050400,6190,6190,5975,6135,7919.5,875,2612.55,6864.25,7978.99784144218,5749.50215855782,30.77726565023879
1530136800,6095,6135,5985,6065,7878.3,521,2533.5,6790.25,7910.890330346896,5669.609669653104,29.88346670361929
1530223200,5895,5930,5755,5865,7830.4,2512,2549.25,6711.5,7859.459494058915,5563.540505941085,27.4322180476436
1530482400,6275,6680,6260,6625,7792.1,3977,2666.85,6667.75,7757.385145358298,5578.114854641702,45.66975970682852
1530568800,6645,6660,6530,6580,7746.8,0,2563.4,6615.5,7612.825924660539,5618.174075339461,44.949431769656876
1530741600,6690,6700,6430,6505,7687.8,6739,2827.85,6563.75,7466.772009698546,5660.727990301454,43.71196015170115
1530828000,6490,6640,6430,6565,7639.1,2038,2857.9,6506.75,7242.931193728827,5770.568806271173,45.01609145623301
1531087200,6745,6760,6645,6695,7595.1,1765,2881.1,6458.75,6984.239057926043,5933.260942073957,47.836109915236015
1531173600,6695,6785,6295,6355,7540.6,3084,2842.25,6439,6948.672443830349,5929.327556169651,41.79810838853624
