time,open,high,low,close,EMA,MA,Volume,Volume MA,Basis,Upper,Lower,RSI
1338681600,5.24436212,5.28964163,5.08700714,5.20594054,5.195934970468235,5.080922677799989,16358.09399246,41908.04117638548,5.143516702499989,5.2864411090362315,5.000592295963746,55.621564229998526
1338768000,5.1,5.27375881,5.1,5.25926438,5.208600852374588,5.086729540399989,54733.24742811,41870.10466517547,5.1547296599999886,5.297028716063886,5.0124306039360915,58.78733665587969
1338854400,5.26578615,5.47714474,5.13,5.40394458,5.24766959789967,5.095763071999988,91938.02851006,42647.39585352898,5.172883277999989,5.342470181716454,5.003296374283524,65.89596534288327
1338940800,5.44008846,5.48673146,5.27565528,5.4629322,5.290722118319736,5.105528379599988,45702.99110366,43424.33888702048,5.19103812449999,5.398883733648861,4.983192515351118,68.2969667847246
1339027200,5.42813037,5.59109709,5.325,5.591,5.350777694655789,5.1151144281999885,55218.84808668,43301.67681291598,5.214687624499989,5.482810508302525,4.946564740697453,72.77793164933156
1339113600,5.54533538,5.67913161,5.4722868,5.63298694,5.407219543724631,5.12647034299999,61837.11051259,45026.685785018984,5.24057862799999,5.560301151329065,4.920856104670915,74.07183393848074
1339200000,5.60772945,5.66840566,5.45690083,5.5599304,5.437761714979705,5.13048330559999,44806.49340998,46148.21164081848,5.26407414799999,5.6044825275186145,4.923665768481365,68.01411689669314
1339286400,5.54239612,5.577,5.299,5.46626821,5.443463013983764,5.135108055199989,32218.77626571,45506.08978955148,5.282885721999991,5.624325389803564,4.941446054196417,61.113571141875795
1339372800,5.46715359,5.63379389,5.254,5.584078,5.471586011187011,5.142719220599989,47616.04504002,45350.70894713548,5.30718252799999,5.661494548480032,4.952870507519947,65.81206822897425
1339459200,5.54699877,5.78688842,5.45716979,5.70003,5.517274808949608,5.156510910999989,94123.57396913,47008.56896542698,5.33521157549999,5.719442523192334,4.950980627807646,69.6933912515133
1339545600,5.73185269,5.96,5.621,5.91496813,5.596813473159687,5.172939107199989,64961.90328008,48616.98336584748,5.37500837699999,5.821298752089713,4.9287180019102665,75.29288644888766
1339632000,5.9162662,5.9725319,5.68269519,5.9598529,5.6694213585277495,5.189499765199989,44688.13179728,49368.22606981048,5.41579250599999,5.916065531146511,4.915519480853469,76.27853755923277
1339718400,5.95081595,6.54493845,5.68733536,6.51999772,5.8395366308222,5.217944174999989,73662.84102195,51505.04236812448,5.48663039199999,6.160809220235555,4.812451563764425,84.55785871595337
